epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.8161574295803509,0.4974318073057904,1.0277018992286624,0.7047339543192548
2,1.1649980611522759,0.6620513638538842,0.6940637493416472,0.7983922419293097
3,0.9388131628730191,0.7275801563247727,0.8706882677186094,0.7275743269108077
4,0.7973395660802458,0.7679693731057585,0.5864968084780952,0.8153630215643741
5,0.7350301781783056,0.7863136066358271,0.506404772065618,0.8477733826719408
6,0.6752791205439809,0.8049768703142447,0.5269925775916939,0.8472629832844201
7,0.6426393146624423,0.814292550646036,0.40068874089314693,0.8845221385734338
8,0.6109227542634558,0.8285212952624023,0.4191091614762733,0.8702309557228531
9,0.5700820794362622,0.8374860424310098,0.41647157106437793,0.8782697460763047
10,0.549985526784753,0.843260488116127,0.3404809581090886,0.9045553145336226
11,0.5376001541457462,0.8467060137182963,0.3661267580037859,0.8815873420951895
12,0.5067686618791089,0.8545860583825171,0.2877838843375781,0.9193568967717238
13,0.4968454939124116,0.8612537884830116,0.3008386003433376,0.9117009059589128
14,0.475303433039938,0.8674429733609826,0.31901489179413844,0.9049381140742631
15,0.46020957466365237,0.8701228266071144,0.3441179802458591,0.8961337246395304
16,0.44082181925864133,0.8788004466422077,0.2695437697463163,0.9219088937093276
17,0.4345225459119505,0.8802360823097782,0.272966625837279,0.9217812938624473
18,0.4383300473490749,0.879693731057585,0.2802855102400012,0.9212708944749266
19,0.41429609650439064,0.8861381400542351,0.2523774960358991,0.9282888860533367
20,0.4096073302455944,0.8871909395437869,0.2563166497179644,0.9298200842158989
