epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.2940487591873233,0.7244741072052554,0.5840132966606372,0.8395527603074773
2,0.7382670858240584,0.8228737158431756,0.5598319312790572,0.8342417889587701
3,0.6497651667612905,0.8375148507932071,0.5138539493729567,0.8443046820405311
4,0.6017230894007567,0.8440841428471592,0.494592176845322,0.8560447239692522
5,0.5778293204145933,0.8478579914738975,0.48201372255912867,0.8543675751222921
6,0.5788095876563061,0.8467048710601719,0.45893589724909584,0.8656883298392732
7,0.5473231475877599,0.8555804039415752,0.45362130969575365,0.86680642907058
8,0.544616615233227,0.8570829547837026,0.489147737381588,0.8484975541579315
9,0.5338039793002797,0.8595988538681948,0.5260025949478357,0.8454227812718379
10,0.5224143734509127,0.856768467398141,0.40857195478690245,0.8802236198462614
11,0.5292295407962313,0.8571877839122231,0.42998735643949315,0.8722571628232005
12,0.5174645990626902,0.8614158920958838,0.4397875469727253,0.873235499650594
13,0.5089469999793491,0.8624641833810889,0.4119013918583248,0.8791055206149546
14,0.5006586307790829,0.8669718359074708,0.43247410459125024,0.8739343116701608
15,0.504684591394974,0.864141449437417,0.44333402391583,0.8683438155136268
16,0.4933444258551718,0.8668670067789503,0.4711308443602526,0.862753319357093
17,0.4910729246112367,0.865364455936823,0.4536267965836782,0.8675052410901467
18,0.4972882131475832,0.8659584876651059,0.4587062494387065,0.863591893780573
19,0.4891444936168711,0.865574114193864,0.4263504312790873,0.873235499650594
20,0.48997134333078746,0.8671465511216717,0.44193947162716063,0.8675052410901467
